exp_id,timestamp,model,domain,lora_rank,n_steps,replay_size,seed,subject,is_medical,accuracy,delta_acc,forgetting
L2SP_lam0p1,2026-05-25T14:23:56.645957,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,electrical_engineering,False,0.8137931034482758,-0.01379310344827589,0.01379310344827589
L2SP_lam0p1,2026-05-25T14:23:56.646661,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,elementary_mathematics,False,0.7275132275132276,0.023809523809523836,-0.023809523809523836
L2SP_lam0p1,2026-05-25T14:23:56.647336,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,formal_logic,False,0.6507936507936508,-0.031746031746031744,0.031746031746031744
L2SP_lam0p1,2026-05-25T14:23:56.648023,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,global_facts,False,0.54,0.020000000000000018,-0.020000000000000018
L2SP_lam0p1,2026-05-25T14:23:56.648711,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_biology,False,0.9290322580645162,-0.003225806451612856,0.003225806451612856
L2SP_lam0p1,2026-05-25T14:23:56.649389,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_chemistry,False,0.7783251231527094,-0.009852216748768461,0.009852216748768461
L2SP_lam0p1,2026-05-25T14:23:56.650079,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_computer_science,False,0.81,-0.029999999999999916,0.029999999999999916
L2SP_lam0p1,2026-05-25T14:23:56.650764,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_european_history,False,0.703030303030303,-0.0121212121212122,0.0121212121212122
L2SP_lam0p1,2026-05-25T14:23:56.651439,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_geography,False,0.8888888888888888,0.0,-0.0
L2SP_lam0p1,2026-05-25T14:23:56.652122,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_government_and_politics,False,0.9378238341968912,-0.010362694300518172,0.010362694300518172
L2SP_lam0p1,2026-05-25T14:23:56.652805,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_macroeconomics,False,0.8461538461538461,-0.00512820512820511,0.00512820512820511
